Location,Latitude,Longitude
Cle Elum,47.19,-120.96
Clear Lake,46.93,-122.28
Clearview,47.83,-122.15
Cliffdell,46.92,-121.04
Clinton,47.97,-122.35
Clover Creek,47.14,-122.38
Clyde Hill,47.63,-122.22
Cohassett Beach,46.87,-124.1
Colfax,46.9,-117.34
College Place,46.04,-118.39
Colton town,46.57,-117.13
Colville,48.55,-117.9
Conconully town,48.56,-119.75
Concrete town,48.54,-121.75
Connell,46.66,-118.84
Conway,48.34,-122.34
Copalis Beach,47.12,-124.17
Cosmopolis,46.95,-123.77
Cottage Lake,47.75,-122.08
Coulee town,47.61,-119.29
Coulee Dam town,47.97,-118.98
Country Homes,47.75,-117.42
Coupeville town,48.22,-122.68
Covington,47.37,-122.1
Cowiche,46.67,-120.72
Creston town,47.76,-118.52
Crocker,47.08,-122.12
Curlew,48.88,-118.6
Curlew Lake,48.73,-118.67
Cusick town,48.33,-117.3
Custer,48.91,-122.64
Dallesport,45.63,-121.17
Danville,48.99,-118.51
Darrington town,48.25,-121.6
Dash Point,47.31,-122.42
Davenport,47.66,-118.15
Dayton,46.32,-117.98
Deep River,46.35,-123.7
Deer Park,47.96,-117.44
Deming,48.84,-122.23
Des Moines,47.39,-122.32
Desert Aire,46.69,-119.93
Disautel,48.35,-119.23
Dixie,46.14,-118.15
Dollars Corner,45.78,-122.6
Donald,46.47,-120.39
Duluth,45.78,-122.65
DuPont,47.11,-122.65
Duvall,47.74,-121.97
East Cathlamet,46.2,-123.36
East Hill-Meridian,47.41,-122.17
East Port Orchard,47.52,-122.62
East Renton Highlands,47.47,-122.09
East Wenatchee,47.42,-120.28
Eastgate,47.57,-122.13
Eastmont,47.9,-122.18
Easton,47.24,-121.17
Eatonville town,46.87,-122.27
Edgewood,47.23,-122.28
Edison,48.56,-122.43
Edmonds,47.83,-122.37
Elbe,46.77,-122.19
Electric,47.92,-119.05
Elk Plain,47.04,-122.37
Ellensburg,47,-120.55
Elma,47.01,-123.4
Elmer town,48,-118.95
Endicott town,46.93,-117.69
Enetai,47.59,-122.61
Entiat,47.68,-120.22
Enumclaw,47.2,-121.99
Ephrata,47.31,-119.54
Erlands Point-Kitsap Lake,47.6,-122.7
Eschbach,46.67,-120.63
Esperance,47.79,-122.35
Everett,47.96,-122.19
Everson,48.91,-122.35
Fairchild AFB,47.62,-117.65
Fairfield town,47.38,-117.17
Fairwood,47.45,-122.14
Fall,47.57,-121.91
Farmington town,47.09,-117.05
Federal Way,47.31,-122.34
Felida,45.71,-122.71
Fern Prairie,45.64,-122.4
Ferndale,48.85,-122.59
Fife,47.23,-122.35
Fife Heights,47.26,-122.34
Finley,46.17,-119.04
Fircrest,47.23,-122.52
Five Corners,45.69,-122.57
Fobes Hill,47.94,-122.13
Fords Prairie,46.75,-123
Forks,47.95,-124.39
Fort Lewis,47.1,-122.57
Four Lakes,47.56,-117.59
Fox Island,47.25,-122.63
Frederickson,47.09,-122.36
Freeland,48.02,-122.54
Friday Harbor town,48.53,-123.07
Garfield town,47.01,-117.14
